ts,window,session,attempt,t_boundary_sap_ms,t_captcha_req_ms,t_captcha_resp_ms,captcha_ms,lookup_hit,t_submit_req_ms,t_submit_resp_ms,submit_ms,total_from_boundary_ms,status
2026-09-24T16:20:03.629Z,21:50,s2,1,1790266798500,1790266803483,1790266803554,71,hit,1790266803555,1790266803628,73,5128,ok
2026-09-24T16:20:03.688Z,21:50,s1,1,1790266798500,1790266803546,1790266803617,71,hit,1790266803617,1790266803688,71,5188,ok
2026-09-24T16:20:03.831Z,21:50,s1,1,1790266798500,1790266803689,1790266803761,72,hit,1790266803761,1790266803831,70,5331,ok
2026-09-24T16:21:03.629Z,21:51,s2,1,1790266858500,1790266863487,1790266863558,71,hit,1790266863558,1790266863629,71,5129,ok
2026-09-24T16:21:03.698Z,21:51,s1,1,1790266858500,1790266863555,1790266863626,71,hit,1790266863627,1790266863698,71,5198,ok
2026-09-24T16:21:03.840Z,21:51,s1,1,1790266858500,1790266863698,1790266863769,71,hit,1790266863769,1790266863840,71,5340,ok
2026-09-24T16:22:00.153Z,21:52,s1,1,1790266920000,1790266920108,1790266920130,22,hit,1790266920130,1790266920153,23,153,ok
2026-09-24T16:22:00.155Z,21:52,s2,1,1790266920000,1790266920108,1790266920131,23,hit,1790266920131,1790266920155,24,155,ok
2026-09-24T16:22:00.197Z,21:52,s1,1,1790266920000,1790266920154,1790266920175,21,hit,1790266920175,1790266920197,22,197,ok
2026-09-24T16:22:58.566Z,21:53,s1,1,1790266978500,1790266978504,1790266978526,22,hit,1790266978545,1790266978566,21,66,ok
2026-09-24T16:22:58.568Z,21:53,s2,1,1790266978500,1790266978514,1790266978535,21,hit,1790266978546,1790266978567,21,67,ok
2026-09-24T16:22:58.608Z,21:53,s1,1,1790266978500,1790266978567,1790266978587,20,hit,1790266978587,1790266978608,21,108,ok
2026-09-24T16:24:13.869Z,21:54,s1,1,1790267040000,1790267053824,1790267053846,22,hit,1790267053847,1790267053868,21,13868,ok
2026-09-24T16:24:13.871Z,21:54,s2,1,1790267040000,1790267053825,1790267053848,23,hit,1790267053848,1790267053871,23,13871,ok
2026-09-24T16:24:13.912Z,21:54,s1,1,1790267040000,1790267053870,1790267053891,21,hit,1790267053891,1790267053912,21,13912,ok
2026-09-24T16:24:58.564Z,21:55,s1,1,1790267098500,1790267098503,1790267098525,22,hit,1790267098542,1790267098564,22,64,ok
2026-09-24T16:24:58.565Z,21:55,s2,1,1790267098500,1790267098514,1790267098535,21,hit,1790267098543,1790267098565,22,65,ok
2026-09-24T16:24:58.607Z,21:55,s1,1,1790267098500,1790267098565,1790267098585,20,hit,1790267098585,1790267098607,22,107,ok
