ts,window,session,attempt,t_boundary_sap_ms,t_captcha_req_ms,t_captcha_resp_ms,captcha_ms,lookup_hit,t_submit_req_ms,t_submit_resp_ms,submit_ms,total_from_boundary_ms,status
2026-09-14T18:00:00.059Z,23:30,s1,1,1789408798510,1789408800015,1789408800036,21,hit,1789408800036,1789408800059,23,1549,ok
2026-09-14T18:00:00.103Z,23:30,s1,1,1789408798510,1789408800060,1789408800082,22,hit,1789408800082,1789408800102,20,1592,ok
2026-09-14T18:01:00.121Z,23:31,s1,1,1789408858532,1789408860080,1789408860100,20,hit,1789408860101,1789408860121,20,1589,ok
2026-09-14T18:01:00.164Z,23:31,s1,1,1789408858532,1789408860122,1789408860143,21,hit,1789408860143,1789408860164,21,1632,ok
2026-09-14T18:03:23.988Z,23:33,s1,1,1789408980000,1789409003943,1789409003965,22,hit,1789409003966,1789409003988,22,23988,ok
2026-09-14T18:03:24.032Z,23:33,s1,1,1789408980000,1789409003989,1789409004010,21,hit,1789409004010,1789409004031,21,24031,ok
2026-09-14T18:03:58.628Z,23:34,s1,1,1789409038500,1789409038585,1789409038606,21,hit,1789409038606,1789409038628,22,128,ok
2026-09-14T18:03:58.671Z,23:34,s1,1,1789409038500,1789409038629,1789409038650,21,hit,1789409038650,1789409038671,21,171,ok
2026-09-14T18:06:08.166Z,23:36,s1,1,1789409160000,1789409168121,1789409168143,22,hit,1789409168144,1789409168166,22,8166,ok
2026-09-14T18:06:08.211Z,23:36,s1,1,1789409160000,1789409168167,1789409168189,22,hit,1789409168189,1789409168211,22,8211,ok
2026-09-14T18:06:58.571Z,23:37,s1,1,1789409218536,1789409218526,1789409218548,22,hit,1789409218549,1789409218571,22,35,ok
2026-09-14T18:06:58.614Z,23:37,s1,1,1789409218536,1789409218572,1789409218592,20,hit,1789409218592,1789409218614,22,78,ok
2026-09-14T18:07:13.220Z,23:37,s2,1,1789409220000,1789409233175,1789409233197,22,hit,1789409233197,1789409233220,23,13220,ok
2026-09-14T18:07:13.276Z,23:37,s1,1,1789409220000,1789409233233,1789409233253,20,hit,1789409233253,1789409233276,23,13276,ok
2026-09-14T18:09:12.536Z,23:39,s2,1,1789409338612,1789409352450,1789409352471,21,hit,1789409352471,1789409352536,65,13924,ok
2026-09-14T18:09:12.607Z,23:39,s1,1,1789409338612,1789409352566,1789409352587,21,hit,1789409352587,1789409352607,20,13995,waf
2026-09-14T18:09:12.662Z,23:39,s2,1,1789409338612,1789409352618,1789409352639,21,hit,1789409352639,1789409352662,23,14050,waf
2026-09-14T18:09:13.174Z,23:39,s1,1,1789409340000,1789409353125,1789409353149,24,hit,1789409353150,1789409353173,23,13173,ok
2026-09-14T18:09:13.217Z,23:39,s1,1,1789409340000,1789409353175,1789409353196,21,hit,1789409353196,1789409353217,21,13217,ok
2026-09-14T18:09:59.363Z,23:40,s2,1,1789409398489,1789409399321,1789409399341,20,hit,1789409399341,1789409399363,22,874,ghost
2026-09-14T18:09:59.372Z,23:40,s2,1,1789409398538,1789409399330,1789409399352,22,hit,1789409399352,1789409399372,20,834,ghost
2026-09-14T18:09:59.414Z,23:40,s1,1,1789409398538,1789409399371,1789409399392,21,hit,1789409399392,1789409399414,22,876,waf
2026-09-14T18:09:59.468Z,23:40,s1,1,1789409398489,1789409399426,1789409399447,21,hit,1789409399447,1789409399468,21,979,waf
2026-09-14T18:09:59.733Z,23:40,s2,2,1789409398489,1789409399690,1789409399711,21,hit,1789409399711,1789409399733,22,1244,ghost
2026-09-14T18:09:59.744Z,23:40,s2,2,1789409398538,1789409399703,1789409399724,21,hit,1789409399724,1789409399744,20,1206,waf
2026-09-14T18:10:00.048Z,23:40,s2,3,1789409398489,1789409400006,1789409400027,21,hit,1789409400027,1789409400048,21,1559,ok
2026-09-14T18:10:00.091Z,23:40,s2,1,1789409398489,1789409400049,1789409400070,21,hit,1789409400070,1789409400091,21,1602,ok
2026-09-14T18:11:58.567Z,23:42,s1,1,1789409518525,1789409518515,1789409518541,26,hit,1789409518541,1789409518565,24,40,ok
2026-09-14T18:11:58.613Z,23:42,s1,1,1789409518525,1789409518568,1789409518589,21,hit,1789409518589,1789409518612,23,87,ok
2026-09-14T18:12:58.562Z,23:43,s1,1,1789409578524,1789409578515,1789409578535,20,hit,1789409578539,1789409578562,23,38,ok
2026-09-14T18:12:58.605Z,23:43,s1,1,1789409578524,1789409578562,1789409578583,21,hit,1789409578583,1789409578605,22,81,ok
2026-09-14T18:13:59.354Z,23:44,s2,1,1789409638491,1789409639312,1789409639332,20,hit,1789409639332,1789409639354,22,863,ok
2026-09-14T18:13:59.360Z,23:44,s1,1,1789409638491,1789409639317,1789409639338,21,hit,1789409639338,1789409639360,22,869,ok
2026-09-14T18:13:59.470Z,23:44,s1,1,1789409638491,1789409639427,1789409639449,22,hit,1789409639449,1789409639470,21,979,waf
2026-09-14T18:13:59.630Z,23:44,s2,1,1789409638491,1789409639588,1789409639609,21,hit,1789409639609,1789409639630,21,1139,waf
2026-09-14T18:14:59.345Z,23:45,s2,1,1789409698508,1789409699303,1789409699323,20,hit,1789409699323,1789409699345,22,837,ok
2026-09-14T18:14:59.389Z,23:45,s1,1,1789409698508,1789409699346,1789409699367,21,hit,1789409699368,1789409699389,21,881,ok
2026-09-14T18:19:58.561Z,23:50,s1,1,1789409998524,1789409998514,1789409998536,22,hit,1789409998539,1789409998561,22,37,ok
2026-09-14T18:19:58.605Z,23:50,s1,1,1789409998524,1789409998563,1789409998584,21,hit,1789409998584,1789409998605,21,81,ok
2026-09-14T18:20:58.554Z,23:51,s1,1,1789410058520,1789410058510,1789410058531,21,hit,1789410058533,1789410058554,21,34,ok
2026-09-14T18:20:58.597Z,23:51,s1,1,1789410058520,1789410058555,1789410058575,20,hit,1789410058575,1789410058597,22,77,ok
2026-09-14T18:21:22.426Z,23:51,s1,1,1789410060000,1789410082382,1789410082404,22,hit,1789410082404,1789410082426,22,22426,ok
2026-09-14T18:21:22.676Z,23:51,s1,1,1789410060000,1789410082632,1789410082654,22,hit,1789410082654,1789410082676,22,22676,ok
2026-09-14T18:21:59.351Z,23:52,s2,1,1789410118519,1789410119309,1789410119331,22,hit,1789410119331,1789410119351,20,832,ok
2026-09-14T18:21:59.457Z,23:52,s1,1,1789410118519,1789410119410,1789410119433,23,hit,1789410119433,1789410119456,23,937,ok
2026-09-14T18:25:25.885Z,23:55,s1,1,1789410300000,1789410325841,1789410325862,21,hit,1789410325863,1789410325885,22,25885,ok
2026-09-14T18:25:25.928Z,23:55,s1,1,1789410300000,1789410325886,1789410325907,21,hit,1789410325907,1789410325928,21,25928,ok
2026-09-14T18:25:59.345Z,23:56,s2,1,1789410358510,1789410359302,1789410359323,21,hit,1789410359323,1789410359344,21,834,ok
2026-09-14T18:25:59.388Z,23:56,s1,1,1789410358510,1789410359345,1789410359367,22,hit,1789410359367,1789410359388,21,878,ok
2026-09-14T18:27:59.362Z,23:58,s2,1,1789410478487,1789410479320,1789410479340,20,hit,1789410479340,1789410479362,22,875,ok
2026-09-14T18:27:59.406Z,23:58,s1,1,1789410478487,1789410479365,1789410479385,20,hit,1789410479385,1789410479406,21,919,waf
2026-09-14T18:27:59.575Z,23:58,s2,1,1789410478487,1789410479534,1789410479555,21,hit,1789410479555,1789410479575,20,1088,waf
2026-09-14T18:28:59.358Z,23:59,s1,1,1789410538537,1789410539315,1789410539336,21,hit,1789410539336,1789410539358,22,821,ok
2026-09-14T18:28:59.375Z,23:59,s2,1,1789410538537,1789410539335,1789410539355,20,hit,1789410539355,1789410539375,20,838,waf
2026-09-14T18:28:59.401Z,23:59,s1,1,1789410538537,1789410539359,1789410539380,21,hit,1789410539380,1789410539401,21,864,waf
2026-09-14T18:30:58.587Z,00:01,s1,1,1789410658502,1789410658543,1789410658564,21,hit,1789410658565,1789410658587,22,85,ok
2026-09-14T18:30:58.631Z,00:01,s1,1,1789410658502,1789410658588,1789410658609,21,hit,1789410658609,1789410658630,21,128,ok
2026-09-14T18:31:58.574Z,00:02,s1,1,1789410718496,1789410718532,1789410718553,21,hit,1789410718553,1789410718574,21,78,ok
2026-09-14T18:31:58.617Z,00:02,s1,1,1789410718496,1789410718575,1789410718596,21,hit,1789410718596,1789410718617,21,121,ok
2026-09-14T18:32:59.390Z,00:03,s1,1,1789410778509,1789410779347,1789410779368,21,hit,1789410779368,1789410779390,22,881,ok
