ts,window,session,attempt,t_boundary_sap_ms,t_captcha_req_ms,t_captcha_resp_ms,captcha_ms,lookup_hit,t_submit_req_ms,t_submit_resp_ms,submit_ms,total_from_boundary_ms,status
2026-09-25T06:25:28.554Z,11:55,s2,1,1790317500000,1790317528411,1790317528481,70,hit,1790317528481,1790317528553,72,28553,ok
2026-09-25T06:25:28.565Z,11:55,s1,1,1790317500000,1790317528423,1790317528494,71,hit,1790317528495,1790317528565,70,28565,ok
2026-09-25T06:29:03.536Z,11:59,s1,1,1790317738500,1790317743393,1790317743463,70,hit,1790317743464,1790317743535,71,5035,ok
2026-09-25T06:29:03.537Z,11:59,s2,1,1790317738500,1790317743394,1790317743465,71,hit,1790317743465,1790317743537,72,5037,ok
2026-09-25T06:29:06.733Z,11:59,s1,1,1790317738500,1790317746589,1790317746661,72,hit,1790317746661,1790317746733,72,8233,ok
2026-09-25T06:31:05.126Z,12:01,s1,1,1790317860000,1790317864982,1790317865053,71,hit,1790317865054,1790317865126,72,5126,ok
2026-09-25T06:31:05.128Z,12:01,s2,1,1790317860000,1790317864982,1790317865054,72,hit,1790317865054,1790317865127,73,5127,ok
2026-09-25T06:31:11.833Z,12:01,s1,1,1790317858500,1790317871690,1790317871761,71,hit,1790317871762,1790317871833,71,13333,ok
2026-09-25T06:32:03.534Z,12:02,s1,1,1790317918500,1790317923392,1790317923463,71,hit,1790317923463,1790317923534,71,5034,ok
2026-09-25T06:32:03.535Z,12:02,s2,1,1790317918500,1790317923392,1790317923464,72,hit,1790317923464,1790317923535,71,5035,ok
2026-09-25T06:32:11.697Z,12:02,s1,1,1790317918500,1790317931554,1790317931625,71,hit,1790317931626,1790317931697,71,13197,ok
2026-09-25T06:33:00.108Z,12:03,s1,1,1790317980000,1790317980064,1790317980085,21,hit,1790317980086,1790317980108,22,108,ok
2026-09-25T06:33:00.110Z,12:03,s2,1,1790317980000,1790317980064,1790317980086,22,hit,1790317980086,1790317980110,24,110,ok
2026-09-25T06:33:00.152Z,12:03,s1,1,1790317980000,1790317980109,1790317980130,21,hit,1790317980130,1790317980152,22,152,ok
2026-09-25T06:33:02.772Z,12:03,s1,1,1790317978500,1790317982729,1790317982751,22,hit,1790317982751,1790317982772,21,4272,ok
2026-09-25T06:33:02.773Z,12:03,s2,1,1790317978500,1790317982729,1790317982751,22,hit,1790317982751,1790317982773,22,4273,ok
2026-09-25T06:33:58.566Z,12:04,s1,1,1790318038500,1790318038505,1790318038528,23,hit,1790318038544,1790318038565,21,65,ok
2026-09-25T06:33:58.567Z,12:04,s2,1,1790318038500,1790318038515,1790318038536,21,hit,1790318038544,1790318038567,23,67,ok
2026-09-25T06:33:58.608Z,12:04,s1,1,1790318038500,1790318038566,1790318038587,21,hit,1790318038587,1790318038608,21,108,ok
