ts,window,session,attempt,t_boundary_sap_ms,t_captcha_req_ms,t_captcha_resp_ms,captcha_ms,lookup_hit,t_submit_req_ms,t_submit_resp_ms,submit_ms,total_from_boundary_ms,status
2026-09-17T05:45:01.287Z,11:15,s1,1,1789623899884,1789623900914,1789623901086,172,hit,1789623901086,1789623901287,201,1403,wrong-captcha
2026-09-17T05:45:03.807Z,11:15,s1,2,1789623899884,1789623901304,1789623901474,170,hit,1789623901474,1789623903807,2333,3923,tied
2026-09-17T06:15:02.943Z,11:45,s1,1,1789625699953,1789625700919,1789625701109,190,hit,1789625701109,1789625702942,1833,2989,wrong-captcha
2026-09-17T06:15:06.495Z,11:45,s1,2,1789625699953,1789625702957,1789625703153,196,hit,1789625703153,1789625706495,3342,6542,tied
2026-09-17T06:45:01.572Z,12:15,s1,1,1789627499922,1789627500765,1789627501128,363,hit,1789627501129,1789627501572,443,1650,time-ended
2026-09-17T06:45:06.883Z,12:15,s1,1,1789627499922,1789627501793,1789627501940,147,hit,1789627501940,1789627506883,4943,6961,tied
2026-09-17T07:15:12.352Z,12:45,s1,1,1789629299942,1789629310935,1789629311107,172,hit,1789629311107,1789629312351,1244,12409,tied
2026-09-17T08:45:02.918Z,14:15,s1,1,1789634699954,1789634700984,1789634701155,171,hit,1789634701156,1789634702918,1762,2964,wrong-captcha
2026-09-17T08:45:06.426Z,14:15,s1,2,1789634699954,1789634702938,1789634703107,169,hit,1789634703107,1789634706426,3319,6472,tied
2026-09-17T08:45:10.398Z,14:15,s1,1,1789634699954,1789634706427,1789634706591,164,hit,1789634706591,1789634710398,3807,10444,tied
2026-09-17T10:15:02.449Z,15:45,s1,1,1789640099936,1789640100909,1789640101126,217,hit,1789640101126,1789640102449,1323,2513,ok
2026-09-17T10:15:06.926Z,15:45,s1,1,1789640099936,1789640102450,1789640102599,149,hit,1789640102599,1789640106926,4327,6990,tied
2026-09-17T10:15:10.996Z,15:45,s1,1,1789640099936,1789640106927,1789640107151,224,hit,1789640107151,1789640110996,3845,11060,tied
2026-09-17T10:45:06.708Z,16:15,s1,1,1789641899864,1789641904697,1789641904894,197,hit,1789641904894,1789641906708,1814,6844,wrong-captcha
2026-09-17T10:45:08.145Z,16:15,s1,2,1789641899864,1789641906720,1789641906880,160,hit,1789641906881,1789641908145,1264,8281,wrong-captcha
2026-09-17T10:45:08.640Z,16:15,s1,3,1789641899864,1789641908169,1789641908353,184,hit,1789641908353,1789641908640,287,8776,tied
2026-09-17T11:15:01.879Z,16:45,s1,1,1789643699871,1789643700919,1789643701083,164,hit,1789643701083,1789643701878,795,2007,tied
2026-09-17T12:45:03.648Z,18:15,s1,1,1789649099915,1789649101019,1789649101155,136,hit,1789649101155,1789649103648,2493,3733,tied
2026-09-17T13:15:01.464Z,18:45,s1,1,1789650899902,1789650900983,1789650901165,182,hit,1789650901166,1789650901463,297,1561,tied
2026-09-17T13:15:04.391Z,18:45,s1,1,1789650899902,1789650901465,1789650901600,135,hit,1789650901600,1789650904391,2791,4489,tied
2026-09-17T13:15:07.840Z,18:45,s1,1,1789650899902,1789650904392,1789650904566,174,hit,1789650904566,1789650907839,3273,7937,tied
2026-09-17T13:15:16.161Z,18:45,s1,1,1789650899902,1789650913241,1789650913387,146,hit,1789650913387,1789650916161,2774,16259,tied
2026-09-17T14:15:01.932Z,19:45,s1,1,1789654499909,1789654501030,1789654501201,171,hit,1789654501201,1789654501931,730,2022,wrong-captcha
2026-09-17T14:15:04.332Z,19:45,s1,2,1789654499909,1789654501947,1789654502100,153,hit,1789654502100,1789654504332,2232,4423,tied
2026-09-17T15:15:01.866Z,20:45,s1,1,1789658099927,1789658100986,1789658101152,166,hit,1789658101152,1789658101865,713,1938,tied
2026-09-17T18:15:01.906Z,23:45,s1,1,1789668899944,1789668900996,1789668901146,150,hit,1789668901147,1789668901906,759,1962,ok
