ts,window,session,attempt,t_boundary_sap_ms,t_captcha_req_ms,t_captcha_resp_ms,captcha_ms,lookup_hit,t_submit_req_ms,t_submit_resp_ms,submit_ms,total_from_boundary_ms,status
2026-09-16T07:15:01.510Z,12:45,s1,1,1789542899922,1789542900918,1789542901100,182,hit,1789542901101,1789542901509,408,1587,ok
2026-09-16T07:15:04.034Z,12:45,s1,1,1789542899922,1789542901511,1789542901728,217,hit,1789542901728,1789542904034,2306,4112,tied
2026-09-16T07:45:01.959Z,13:15,s1,1,1789544699939,1789544700978,1789544701149,171,hit,1789544701149,1789544701958,809,2019,tied
2026-09-16T07:45:03.878Z,13:15,s1,1,1789544699939,1789544701960,1789544702148,188,hit,1789544702148,1789544703878,1730,3939,tied
2026-09-16T12:15:04.647Z,17:45,s1,1,1789560899791,1789560900931,1789560901110,179,hit,1789560901871,1789560904647,2776,4856,tied
2026-09-16T12:15:26.297Z,17:45,s1,1,1789560899791,1789560922258,1789560922434,176,hit,1789560922435,1789560926297,3862,26506,tied
2026-09-16T12:15:29.277Z,17:45,s1,1,1789560899791,1789560926298,1789560926439,141,hit,1789560926439,1789560929277,2838,29486,tied
2026-09-16T12:15:31.709Z,17:45,s1,1,1789560899791,1789560929278,1789560929439,161,hit,1789560929439,1789560931709,2270,31918,tied
2026-09-16T12:45:01.346Z,18:15,s1,1,1789562699919,1789562700907,1789562701076,169,hit,1789562701077,1789562701345,268,1426,time-ended
2026-09-16T12:45:01.804Z,18:15,s1,1,1789562699919,1789562701347,1789562701512,165,hit,1789562701512,1789562701803,291,1884,time-ended
2026-09-16T12:45:05.743Z,18:15,s1,1,1789562699919,1789562701804,1789562702000,196,hit,1789562702000,1789562705743,3743,5824,wrong-captcha
2026-09-16T12:45:08.415Z,18:15,s1,2,1789562699919,1789562705765,1789562705961,196,hit,1789562705961,1789562708415,2454,8496,ok
2026-09-16T12:45:09.933Z,18:15,s1,1,1789562699919,1789562708416,1789562708686,270,hit,1789562708686,1789562709933,1247,10014,ok
2026-09-16T12:45:10.408Z,18:15,s1,1,1789562699919,1789562709934,1789562710115,181,hit,1789562710115,1789562710408,293,10489,tied
2026-09-16T12:45:10.860Z,18:15,s1,1,1789562699919,1789562710409,1789562710663,254,hit,1789562710663,1789562710860,197,10941,wrong-captcha
2026-09-16T12:45:11.797Z,18:15,s1,2,1789562699919,1789562710883,1789562711079,196,hit,1789562711079,1789562711797,718,11878,tied
2026-09-16T13:15:01.891Z,18:45,s1,1,1789564499888,1789564500984,1789564501121,137,hit,1789564501121,1789564501890,769,2002,tied
2026-09-16T13:15:43.727Z,18:45,s1,1,1789564499888,1789564542818,1789564542979,161,hit,1789564542980,1789564543726,746,43838,tied
2026-09-16T13:45:01.416Z,19:15,s1,1,1789566299944,1789566300953,1789566301110,157,hit,1789566301111,1789566301416,305,1472,tied
2026-09-16T13:45:03.881Z,19:15,s1,1,1789566299944,1789566301417,1789566301603,186,hit,1789566301603,1789566303881,2278,3937,tied
2026-09-16T14:15:01.831Z,19:45,s1,1,1789568099896,1789568100920,1789568101068,148,hit,1789568101069,1789568101831,762,1935,tied
2026-09-16T14:45:01.993Z,20:15,s1,1,1789569899905,1789569901018,1789569901183,165,hit,1789569901184,1789569901993,809,2088,tied
2026-09-16T14:45:04.390Z,20:15,s1,1,1789569899905,1789569901995,1789569902132,137,hit,1789569902132,1789569904390,2258,4485,tied
2026-09-16T15:45:01.913Z,21:15,s1,1,1789573499938,1789573500959,1789573501642,683,hit,1789573501643,1789573501913,270,1975,tied
